unit_id,array_id,region,mean_SNR,mean_latency,mean_reliability,oracle_correlation
0,0,V1,3.4242782177463527,18.75,0.20957447675663812,0.4289467356101793
1,0,V1,3.726187453269527,19.5,0.22384985732079615,0.4332272233657785
2,0,V1,5.88756901026006,18.75,0.5755674048807872,0.7493902244876413
3,0,V1,4.877667118772928,17.75,0.39873959635057177,0.616068880628689
4,0,V1,4.155510172192846,16.25,0.20487634460765008,0.4194308111131872
5,0,V1,7.196354265955727,18.25,0.4323086712932009,0.6433156886701809
6,0,V1,9.926646751720233,17.75,0.6808837610766009,0.8185790293566249
7,0,V1,9.679012439553999,21.0,0.5487248229206002,0.7301337479696496
8,0,V1,2.2996791590901116,18.25,0.212066110103794,0.4279255794518711
9,0,V1,7.139625042557002,18.0,0.40684620307244185,0.6170688864219792
10,0,V1,4.823549006828275,17.0,0.3567718355097332,0.5797194455961875
11,0,V1,6.827164109868944,17.25,0.3521012127419648,0.5749970817396312
12,0,V1,4.644389019795861,16.5,0.19739935444783083,0.4134135847196835
13,0,V1,6.6147298177271985,17.25,0.3481046160803122,0.5649260328215138
14,0,V1,6.071732428711384,19.0,0.3774717422163579,0.5850082498720608
15,0,V1,3.4946882761475235,21.0,0.4594850059549776,0.6650720616882201
16,0,V1,4.514654716662049,19.0,0.365379734772155,0.5842267464747912
17,0,V1,2.7479522082605925,17.5,0.22291282089605713,0.4435622474279221
18,0,V1,4.345405061042841,17.0,0.21908394467175776,0.43419480652789666
19,0,V1,6.319720595486474,17.5,0.33556572467974294,0.5607378377747079
20,0,V1,5.5711558760486,15.75,0.27977678721475485,0.505209645148889
21,0,V1,7.653574539863688,18.5,0.5101171839927682,0.6992589004850086
22,0,V1,6.56929624995944,18.25,0.3965454280490191,0.6036339324803438
23,0,V1,5.22298595919191,22.75,0.5355208748892792,0.720418029079419
24,0,V1,4.625155720799004,19.0,0.36368360812812217,0.5831512143595534
25,0,V1,3.2869800657107056,16.75,0.2329237309436658,0.4584997501446184
26,0,V1,7.424841842416091,17.5,0.47499332684577333,0.6768310335421758
27,0,V1,6.763914273253231,16.0,0.48244768522586884,0.6814957035172284
28,0,V1,5.2165288872644995,15.5,0.2774066046069274,0.49117219868776324
29,0,V1,10.84433040716562,20.5,0.7448151369330388,0.8578463771324778
30,0,V1,9.524659230202438,22.25,0.7383410406243557,0.8539260920193266
31,0,V1,5.569919944453741,21.0,0.543396588817006,0.726398286133268
32,0,V1,5.049301019448498,19.0,0.4392572324389582,0.6487850783197984
33,0,V1,4.357026971024285,14.75,0.28890174198804036,0.5158242618215819
34,0,V1,5.309040995157908,17.0,0.3074070017067813,0.5345591314210723
35,0,V1,7.41521992724053,15.5,0.40164687182516384,0.6177110431533296
36,0,V1,6.238519163764933,18.0,0.5547754986466826,0.733529249058946
37,0,V1,7.622250228059574,19.5,0.4355786392185792,0.6468189186661928
38,0,V1,11.341132075445508,22.0,0.678049095637015,0.8166505632502947
39,0,V1,7.657802771167232,22.0,0.7583241654743761,0.8660292182224879
40,0,V1,5.636538729416953,19.0,0.5804611339780132,0.7525956992978904
41,0,V1,7.4578575445576325,15.75,0.46173636530082146,0.6666873813777696
42,0,V1,7.2396213371421005,16.75,0.45375192463439595,0.6600147058680973
43,0,V1,7.325362951852876,18.25,0.5519581900721796,0.7310032859584961
44,0,V1,9.09927496995596,19.75,0.7808161322930752,0.8793462514108036
45,0,V1,9.014601461478344,19.25,0.7388987641663891,0.8544511494742297
46,0,V1,10.106406028894817,20.25,0.5274546582573764,0.7128016988595612
47,0,V1,8.203753032804702,21.75,0.5880090765100292,0.7576832654109152
48,0,V1,4.540511418862243,18.75,0.3880004763988131,0.6078323712671442
49,0,V1,7.241132254043707,17.0,0.5297110882691098,0.7175860216208315
50,0,V1,6.993664041594996,17.0,0.4450712866853697,0.6536290826925946
51,0,V1,6.417913457669843,16.0,0.5179648139160555,0.7082336352072939
52,0,V1,6.78039838206055,18.0,0.6117068636003328,0.773731300715349
53,0,V1,8.428234528991922,19.75,0.3991157492984467,0.6098363489677855
54,0,V1,10.108463391853348,24.0,0.5701334357171571,0.7438653909833369
55,0,V1,10.835950540473073,23.5,0.5642198525456757,0.7405013391201826
56,0,V1,6.879980082068707,19.5,0.6279164573583859,0.7845222485223196
57,0,V1,3.9176783955405017,17.0,0.29829902295240385,0.5206036094059416
58,0,V1,6.342108789385069,17.25,0.32190076783461086,0.5446575288065514
59,0,V1,6.739780847908817,16.5,0.3734726503404432,0.592402520937407
60,0,V1,9.22045225230214,19.5,0.5590484056277372,0.738142275426169
61,0,V1,3.914726948078979,17.75,0.3711028702531492,0.5893364418183353
62,0,V1,11.817224743010462,24.75,0.4651495240485096,0.6687640117977287
63,0,V1,7.168004517555362,21.0,0.46415127032388237,0.6666506736248766
64,1,V1,5.02691457553136,22.0,0.5683241067256217,0.7422813624798841
65,1,V1,1.0195371031709168,22.5,0.061469032405549254,0.20098419596381428
66,1,V1,7.706529550114027,25.0,0.6806982564740083,0.8186531848681824
67,1,V1,6.084541966704974,28.5,0.5919863616485794,0.7605784472721456
68,1,V1,14.428464780775396,29.0,0.75259944356226,0.8628113460783007
69,1,V1,9.310753953401411,23.25,0.7637251243560513,0.8693293603080812
70,1,V1,3.4018703342872074,21.25,0.2880367923352586,0.5170532291998174
71,1,V1,3.774234649586395,19.5,0.3619773362193544,0.5858288283093328
72,1,V1,4.5302187294925425,25.25,0.6569527052647708,0.8035177079294016
73,1,V1,8.076092069147569,27.5,0.719795347314333,0.8428818331273011
74,1,V1,13.93523782087989,28.5,0.7653207731260044,0.8702333961201189
75,1,V1,15.081404047622648,28.5,0.7701662625063616,0.8731090880952218
76,1,V1,18.618301503068547,34.0,0.7567752718495505,0.8650759070514108
77,1,V1,8.262265885585268,23.25,0.7080473268967139,0.8355963783186219
78,1,V1,3.628314158650817,21.0,0.2878362322722439,0.5132072157865546
79,1,V1,4.886363890064992,20.75,0.5149117479006105,0.7062864406801572
80,1,V1,5.349453465456467,26.5,0.6556410265154475,0.8024996832703822
81,1,V1,7.210252089583366,23.25,0.6857420738402822,0.8216530188531214
82,1,V1,9.506226378181418,26.75,0.7535786203045612,0.8632707851438182
83,1,V1,13.486176706106688,30.0,0.7910677969858163,0.8854698013757691
84,1,V1,8.236854455154445,26.0,0.7107378030306801,0.8374338643391026
85,1,V1,4.056391539627181,22.0,0.4147489626823023,0.6290034083909245
86,1,V1,3.1752182731302026,18.75,0.4542074652532662,0.6607708508113196
87,1,V1,3.167164040693498,18.25,0.3445151357253233,0.5676551655345758
88,1,V1,5.483796910812585,26.0,0.6295837871250892,0.7855956525776389
89,1,V1,8.728619646467921,25.25,0.7620378553869899,0.8682965331956539
90,1,V1,10.518493216839754,23.0,0.8086442450784924,0.8956174747184558
91,1,V1,9.630796994292794,29.75,0.781026693488602,0.879518071353142
92,1,V1,4.992025309295431,22.25,0.5676851563701263,0.7437744738546798
